code,rep,win,n_cards_played,n_suns_played,owl_score,n_owls_left
OF,6,FALSE,42,13,52,4
YQ,8,TRUE,30,10,0,0
YG,1,TRUE,20,9,0,0
JC,3,TRUE,33,10,0,0
TP,7,TRUE,13,4,0,0
CV,10,FALSE,39,13,10,4
TK,9,TRUE,29,10,0,0
WJ,1,TRUE,28,7,0,0
ZN,8,TRUE,36,12,0,0
WF,2,TRUE,25,9,0,0
RG,4,TRUE,28,9,0,0
VD,7,FALSE,33,13,19,5
CV,3,FALSE,39,13,46,6
ZN,4,TRUE,27,6,0,0
LS,4,FALSE,32,13,63,4
ZY,3,TRUE,11,4,0,0
IK,4,FALSE,42,13,1,1
FG,9,TRUE,38,12,0,0
IG,10,FALSE,40,13,1,1
LW,9,FALSE,33,13,73,4
OZ,4,FALSE,25,13,86,5
BX,1,TRUE,29,11,0,0
OV,6,TRUE,32,11,0,0
